university,count
"Clemson University, USA",4
"National University of Defence Technology, China",4
"University of Edinburgh, United Kingdom (Great Britain)",4
"East China Normal University, China",4
Francesca Meneghello,4
Francesco Gringoli,4
"Microsoft Research Asia, China",4
"Nanjing University of Aeronautics and Astronautics, China",4
"Pengcheng Laboratory, China",4
Yukun Yuan,4
"University of Texas at Austin, USA",4
"Institute of Computing Technology, Chinese Academy of Sciences",4
"New Jersey Institute of Technology, USA",4
West Virginia University,4
Beiyou Shenzhen Institute,4
Xenofon Foukas,4
Duke Kunshan University,4
"Texas A&M University, College Station",4
HKUST (Guangzhou),4
"MSRA, UT Austin",4
Pennsylvania State University,4
The University of Texas at Arlington,4
Hunan University,4
Younsuk Dong,4
National Yang Ming Chiao Tung University,4
Universidad Carlos III de Madrid,4
Imperial College London,4
Georgia State University,4
University of California Riverside,4
Tencent Inc.,4
University of Lisbon,4
Yinchao Zhang,4
The University of Chicago,4
Vincent Liu,4
Saint Louis University,4
"Monash University, Australia",4
University of California Santa Barbara,4
UC San Diego,4
Amazon,4
"Douyin Vision Co., Ltd.",4
"ICSI AND University of California, Berkeley",4
Lightelligence Pte. Ltd.,4
Technology Innovation Institute,4
National Technical University of Athens,4
the University of Tokyo,4
Texas A&M University-Corpus Christi,4
Aalborg University,4
University of New Brunswick,4
University of Auckland,4
Monash University,4
National University of Science and Technology,4
SNCB-NMBS Engineering,4
Institute of Science Tokyo,4
the University of Auckland,4
Texas A&M,4
Corvid Technologies,4
NEC Laboratories Europe GmbH,3
Telefonica Research,3
Alpen-Adria Universität Klagenfurt,3
Verizon,3
University of Michigan and Google,3
University of Iowa,3
KTH Royal Institute of Technology,3
Johns Hopkins University and Meta,3
"ICT, CAS",3
Bilibili Inc.,3
"CNIC CAS; UCAS, China",3
Cisco Research,3
"UCAS, China",3
NETSCOUT,3
CAIDA/UC San Diego,3
"University of Kentucky, USA",3
"University of Houston, USA",3
"Rochester Institute of Technology, USA",3
"Futurewei Technologies, USA",3
"IMDEA Networks Institute, Spain & Universidad Carlos III de Madrid, Spain",3
"Tencent, China",3
"Shanghai Tree-Graph Blockchain Research Institute, China",3
"ShanghaiTech University, China",3
"University of Chinese Academy of Sciences, China",3
"Ericsson, Canada",3
"The University of Texas at Austin, USA",3
"Xiangtan University, China",3
"University of Delaware, USA",3
"Virginia Tech & Kryptowire, USA",3
"Northeast Normal University, China",3
"Wuhan University of Technology, China",3
"University of Pittsburgh, USA",3
"South Asian University, India",3
"Kyoto University, Japan",3
"Tianjin Key Laboratory of Advanced Networking, Tianjin University, China",3
"Shanghai Zhuichu Networking Technologies Co., Ltd., China",3
"University of Massachusetts Lowell, USA",3
"Sharif University of Technology, Iran",3
"University of South Florida, USA",3
"Eötvös Loránd University, Hungary",3
"Institute of Software Chinese Academy of Sciences, China",3
"The Hong Kong University of Science and Technology (Guangzhou) & The Hong Kong University of Science and Technology, Hong Kong",3
"University of Göttingen, Germany",3
"NEC Laboratories Europe GmbH, Germany",3
"Universidad Carlos III de Madrid & IMDEA Networks Institute, Spain",3
"Hangzhou Dianzi University, China",3
"Georgia Tech, USA",3
"University of California, Irvine, USA",3
"Colorado School of Mines, USA",3
"The University of Aizu, Japan",3
"Fudan University & AIWiSe Company, China",3
"Beihang University & Key Laboratory of Aerospace Network Security Ministry of Industry and Information Technology, China",3
"University of Virginia, USA",3
"Nokia & Bell Labs, USA",3
"Brown University, USA",3
"Hong Kong University of Science and Technology (Guangzhou), China",3
"University of Amsterdam, The Netherlands",3
"Ant Group, China",3
"Incheon National University, Korea (South)",3
"The Hong Kong University of Science and Technology (Guangzhou), China",3
"Air Force Research Laboratory, USA",3
"Tsinghua Shenzhen International Graduate School, China",3
"Indian Institute of Science, India",3
"KAIST, Korea (South)",3
"China Telecom Cloud Computing Research Institute, USA & Temple University, USA",3
"The Hong Kong University of Science and Technology, China",3
"University of Melbourne, Australia",3
"University of Arizona, USA",3
"University of Science and Technology of China & Institute of Artificial Intelligence, Hefei Comprehensive National Science Center, China",3
University of Texas at Dallas,3
National Tsing Hua University,3
AT&T Labs - Research,3
University of Cincinnati,3
CWI,3
University of Helsinki,3
Johannes Kepler University,3
Mukulika Maity,3
UMass Amherst,3
RMassachusetts Institute of Technology University,3
"University at Buffalo, State University of New York",3
Shanxi University,3
General Motors,3
Arizona State University,3
MSRA,3
Yale,3
"State Key Laboratory for Novel Software Technology, Nanjing University",3
Southeast University,3
Microsoft Research Asia and University of Massachusetts Amherst,3
Southern University of Science and Technology,3
University of Electronic Science and Technology of China (UESTC),3
Hong Kong University of Science and Technology (Guangzhou),3
Uppsala University,3
NorthWest University,3
JD Logistics,3
"School of Computing, KAIST, Korea, Republic of",3
Penn State University,3
UESTC,3
University of Kentucky,3
King Abdullah University of Science and Technology,3
"Shenzhen International Graduate School, Tsinghua University",3
POSTECH,3
TU Darmstadt,3
Christian Doppler Laboratory ATHENA,3
Amazon Web Services,3
Peking University and Alibaba Cloud,3
VMware Research,3
National Research Center for Applied Cybersecurity ATHENE and Technische Universität Darmstadt,3
University of Illinois Urbana-Champaign and Broadcom,3
Nandita Dukkipati,3
Institute for AI Industry Research,3
AIR,3
Xiamen University,3
"University of Sussex, United Kingdom (Great Britain)",3
"The University of Tokyo, Japan",3
"University of Maryland, Baltimore County, USA",3
"German Research Center for Artificial Intelligence, Germany",3
"Indian Institute of Technology, Kharagpur",3
University of Sydney,3
"Hokkaido University, Japan",3
University of California Berkeley,3
Cloudflare Inc.,3
"Meta Platforms, Inc",3
Intel,3
Tsinghua university,3
ETH Zürich,3
Fuzhou University,3
California Institute of Technology,3
Hangzhou Feitian Cloud and Alibaba Cloud,3
Mysten Labs,3
ByteDance Ltd,3
"University of Minnesota, Twin Cities",3
The University of Connecticut,3
SK Telelcom,3
Christian-Albrechts-Universität zu Kiel,3
AWS,3
ISTI - CNR,3
"AutoNavi, Alibaba Group",3
AT&T Labs-Research,3
SRI International,3
Department of Civil Engineering,3
University of Milan,3
Information Systems,3
Civil and Environmental Engineering,3
Computer Science,3
Beijing University of Technology,3
School of Electrical and Computer Enginnering,3
Department of Informatics and Telematics,3
DMLAB,3
Beijing National Research Center for Information Science and Technology,3
BNRist,3
Douyin Group (HK) Limited,3
IT University of Copenhagen,3
University of New South Wales) and Flora Salim (University of New South Wales,3
Towson University,3
University of Lübeck,3
since 2018,3
University of Waikato,2
IMDEA Networks Institute and UC3M,2
University of Waterloo,2
Sungkyunkwan University,2
École Normale Supérieure de Lyon,2
Xi'an Jiaotong Universifty,2
University of Twente,2
University of Münster,2
"ATHENE Center, TU Darmstadt & Fraunhofer SIT",2
"University of Rome ""La Sapienza""",2
Freie Universität Berlin,2
Politecnico di Milano,2
IPinfo,2
Mario Di Francesco,2
AT&T,2
Francesco Bronzino,2
Hamburg University of Applied Sciences,2
Max Planck Institute for Software Systems,2
Akamai Technologies,2
"Armasuisse, Switzerland",2
"Universitat Politècnica de Catalunya, Spain",2
"Georg-August-University of Göttingen, Germany",2
"Nanjing University & State Key Laboratory for Novel Software Technology, China",2
"Duke University, USA",2
"Huawei Chengdu Research Center, China",2
"University of Macau, Macao",2
"Beijing Kuaishou Technology Co., Ltd, China",2
"HUAWEI, China",2
"Huawei, Hong Kong",2
"Noah's Ark Lab, Huawei, Hong Kong",2
"Southern University of Science and Technology, USA",2
"Harvard University, USA",2
"China Mobile Software Technology, China",2
"KU Leuven, Belgium",2
"UAlbany SUNY, USA",2
"Yonsei University, S. Korea, Korea (South)",2
"East China Jiaotong University, China",2
"China University of Petroleum, China",2
"Vidyasirimedhi Institute of Science and Technology, Thailand",2
"University of Oregon, USA",2
"IBM T. J. Watson Research Center, USA",2
"US Army Research Lab, USA",2
"DEVCOM Army Research Laboratory, USA",2
"Intel, China",2
"China-Singapore International Joint Research Institute, China",2
"China University of Geosciences, Wuhan, China",2
"University of Colorado Denver, USA",2
"National Taiwan University of Science and Technology, Taiwan",2
"Yangzhou University & Southeast University, China",2
"College of Computer Science, Zhejiang University, China",2
"Hong Kong Polytechnical University, Hong Kong",2
"Beijing University of Posts & Telecommunications, China",2
"Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, China",2
"CNIC Chinese Academy of Sciences & University of Chinese Academy of Sciences, China",2
"The University of Electro-Communications, Japan",2
"Hunan Normal University, China",2
"Stevens Institute of Technology, USA",2
"Kryptowire LLC, USA",2
"Beijing Institute of Techology, China",2
"New York Institute of Technology, USA",2
